Symbol,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Sale Of Business,Net Income From Continuing Operations,Capital Expenditure Reported,Change In Other Working Capital,Change In Other Current Assets,Change In Accrued Expense,Net Preferred Stock Issuance,Preferred Stock Payments,Change In Prepaid Assets,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Gain Loss On Investment Securities,Short Term Debt Payments,Short Term Debt Issuance,Provisionand Write Offof Assets,Gain Loss On Sale Of PPE,Change In Other Current Liabilities,Unrealized Gain Loss On Investment Securities,Earnings Losses From Equity Investments,Other Cash Adjustment Inside Changein Cash,Cash Flow From Discontinued Operation,Preferred Stock Issuance,Net Foreign Currency Exchange Gain Loss,Amortization Of Securities,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Dividend Received Cfo,Preferred Stock Dividend Paid,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Other Cash Adjustment Outside Changein Cash,Change In Interest Payable,Sale Of Intangibles,Interest Received Cfi,Dividends Received Cfi,Excess Tax Benefit From Stock Based Compensation,Interest Paid Cff,Dividend Paid Cfo,Depletion,Taxes Refund Paid,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Interest Paid Cfo
MMM,5065000000.0,-33000000.0,-3086000000.0,2835000000.0,,-1615000000.0,520000000.0,1384000000.0,5933000000.0,3655000000.0,-48000000.0,2326000000.0,-3147000000.0,-3147000000.0,-21000000.0,264000000.0,-3311000000.0,-3311000000.0,-33000000.0,-33000000.0,,-46000000.0,205000000.0,-251000000.0,-3086000000.0,2835000000.0,-1207000000.0,-1207000000.0,35000000.0,194000000.0,1660000000.0,-1466000000.0,60000000.0,60000000.0,,-1496000000.0,119000000.0,-1615000000.0,6680000000.0,6680000000.0,317000000.0,-80000000.0,-80000000.0,138000000.0,-218000000.0,-218000000.0,567000000.0,-170000000.0,-170000000.0,14827000000.0,274000000.0,0.0,-3855000000.0,-3855000000.0,1987000000.0,1987000000.0,109000000.0,145000000.0,-36000000.0,-6979000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,597700000.0,-306500000.0,,,,-72600000.0,,,339900000.0,391200000.0,-12800000.0,-38500000.0,-684700000.0,-684700000.0,,23400000.0,-183500000.0,-183500000.0,-306500000.0,-306500000.0,,-218100000.0,,-218100000.0,,,-24100000.0,-24100000.0,,65300000.0,128400000.0,-63100000.0,-16800000.0,,-16800000.0,,,,670300000.0,670300000.0,12800000.0,7000000.0,-21400000.0,-21400000.0,,,18100000.0,-16400000.0,,,11500000.0,15600000.0,-3600000.0,-3600000.0,78300000.0,78300000.0,-900000.0,-900000.0,,556600000.0,-72600000.0,-3100000.0,7200000.0,28400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,5059000000.0,-1227000000.0,-2498000000.0,2000000.0,,-2202000000.0,662000000.0,1475000000.0,6896000000.0,9882000000.0,-23000000.0,-2963000000.0,-7091000000.0,-7091000000.0,,167000000.0,-3556000000.0,-3556000000.0,-1227000000.0,-1227000000.0,,-2475000000.0,21000000.0,-2496000000.0,-2498000000.0,2000000.0,-3133000000.0,-3133000000.0,22000000.0,-116000000.0,43000000.0,-159000000.0,-837000000.0,40000000.0,-877000000.0,-2202000000.0,,-2202000000.0,7261000000.0,7261000000.0,-2475000000.0,-760000000.0,-760000000.0,-760000000.0,,,-232000000.0,-356000000.0,-356000000.0,,644000000.0,,,,3243000000.0,3243000000.0,126000000.0,,,5723000000.0,,-585000000.0,,,,,-542000000.0,1966000000.0,1966000000.0,1277000000.0,126000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,22062000000.0,-1972000000.0,-4149000000.0,0.0,,-777000000.0,2469000000.0,4702000000.0,12814000000.0,9201000000.0,5000000.0,3608000000.0,-17222000000.0,-17222000000.0,-742000000.0,180000000.0,-10539000000.0,-10539000000.0,-1972000000.0,-1972000000.0,,-4149000000.0,,-4149000000.0,-4149000000.0,0.0,-2009000000.0,-2009000000.0,13000000.0,-22000000.0,55000000.0,-77000000.0,-1223000000.0,,-1223000000.0,-777000000.0,,-777000000.0,22839000000.0,22839000000.0,2813000000.0,3840000000.0,3840000000.0,3840000000.0,,,-417000000.0,66000000.0,66000000.0,4811000000.0,747000000.0,4229000000.0,-2889000000.0,-2889000000.0,8698000000.0,8698000000.0,,,0.0,4873000000.0,,-488000000.0,,,,,-188000000.0,7946000000.0,7946000000.0,752000000.0,,,,-443000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,8614518000.0,-4524646000.0,-771246000.0,1599033000.0,1418131000.0,-516509000.0,37182000.0,2386620000.0,5004469000.0,9045032000.0,-46264000.0,-3994299000.0,-6063508000.0,-6063508000.0,-543301000.0,,-3241479000.0,-3241479000.0,-3106515000.0,-4524646000.0,1418131000.0,827787000.0,,827787000.0,-771246000.0,1599033000.0,-7061818000.0,-7061818000.0,8672000.0,,,,-6553981000.0,28721000.0,-6582702000.0,-516509000.0,,-516509000.0,9131027000.0,9131027000.0,-2158890000.0,-454183000.0,160588000.0,46512000.0,114076000.0,114076000.0,,-601935000.0,,593076000.0,1941590000.0,,-93988000.0,-93988000.0,1430042000.0,1430042000.0,,,,7419197000.0,,28401000.0,-853202000.0,-614771000.0,,,,882107000.0,882107000.0,547935000.0,,,,,,-277971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,6942000000.0,-4400000000.0,-500000000.0,,314000000.0,-360000000.0,106000000.0,1854000000.0,7141000000.0,4236000000.0,9000000.0,2896000000.0,-5182000000.0,-5182000000.0,-596000000.0,,,,-4086000000.0,-4400000000.0,314000000.0,-500000000.0,,-500000000.0,-500000000.0,,776000000.0,776000000.0,,1136000000.0,1189000000.0,-53000000.0,0.0,,0.0,-360000000.0,,-360000000.0,7302000000.0,7302000000.0,-355000000.0,86000000.0,-60000000.0,-49000000.0,-11000000.0,-11000000.0,,-159000000.0,-159000000.0,3000000.0,1718000000.0,,-426000000.0,-426000000.0,872000000.0,872000000.0,72000000.0,,,5428000000.0,,536000000.0,,146000000.0,,,-818000000.0,,,,,,,,72000000.0,,-10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,1121000000.0,-1412000000.0,0.0,0.0,,-546000000.0,84000000.0,523000000.0,3933000000.0,4835000000.0,,-902000000.0,-1146000000.0,-1146000000.0,-2000000.0,268000000.0,,,-1412000000.0,-1412000000.0,,0.0,,0.0,0.0,0.0,-1423000000.0,-1423000000.0,-11000000.0,-735000000.0,2987000000.0,-3722000000.0,-131000000.0,0.0,-131000000.0,-546000000.0,,-546000000.0,1667000000.0,1667000000.0,-3049000000.0,-740000000.0,-519000000.0,-419000000.0,,,-580000000.0,-1257000000.0,-1250000000.0,-64000000.0,1384000000.0,,-1019000000.0,-1019000000.0,3551000000.0,3551000000.0,10000000.0,,,854000000.0,,,,-221000000.0,,,-472000000.0,,,3551000000.0,,,,,11000000.0,,,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,-4690000000.0,,-10771000000.0,14882000000.0,421000000.0,-7724000000.0,1317000000.0,301000000.0,1990000000.0,2087000000.0,-270000000.0,173000000.0,5405000000.0,5405000000.0,1317000000.0,,-444000000.0,-444000000.0,,,,4111000000.0,818000000.0,3293000000.0,-4486000000.0,7779000000.0,-8188000000.0,-8188000000.0,-379000000.0,381000000.0,1318000000.0,-937000000.0,-466000000.0,254000000.0,-720000000.0,,,,3034000000.0,3034000000.0,310000000.0,-241000000.0,-241000000.0,-132000000.0,-109000000.0,-109000000.0,306000000.0,161000000.0,161000000.0,149000000.0,,1079000000.0,-54000000.0,-54000000.0,1128000000.0,1128000000.0,340000000.0,,-134000000.0,-182000000.0,-7724000000.0,-2000000.0,5000000.0,,421000000.0,,38000000.0,,,,143000000.0,-6285000000.0,7103000000.0,264000000.0,,43000000.0,,,-78000000.0,,421000000.0,331000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,3190000000.0,-2801000000.0,0.0,204000000.0,17000000.0,,185000000.0,1569000000.0,4306000000.0,3943000000.0,79000000.0,284000000.0,-3723000000.0,-3723000000.0,-177000000.0,,-966000000.0,-966000000.0,-2784000000.0,-2801000000.0,17000000.0,204000000.0,,204000000.0,0.0,204000000.0,817000000.0,817000000.0,-550000000.0,722000000.0,4297000000.0,-3575000000.0,,,,,,,3190000000.0,3190000000.0,-1652000000.0,-967000000.0,-967000000.0,,-967000000.0,-967000000.0,,-133000000.0,,1183000000.0,,,,,,,-1261000000.0,,,4659000000.0,,,,,,,,,,,-85000000.0,,,,,,,,,,,-1176000000.0,-270000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1474000000.0,-575000000.0,0.0,0.0,,-298000000.0,89000000.0,199000000.0,1593000000.0,1056000000.0,5000000.0,532000000.0,-930000000.0,-930000000.0,-122000000.0,67000000.0,-265000000.0,-265000000.0,-575000000.0,-575000000.0,,-35000000.0,-35000000.0,0.0,0.0,0.0,-310000000.0,-310000000.0,-8000000.0,-3000000.0,5000000.0,-8000000.0,-1000000.0,50000000.0,-51000000.0,-298000000.0,0.0,-298000000.0,1772000000.0,1772000000.0,-116000000.0,-171000000.0,-171000000.0,-171000000.0,,,-33000000.0,132000000.0,132000000.0,47000000.0,111000000.0,277000000.0,-56000000.0,-56000000.0,271000000.0,271000000.0,-2000000.0,,-43000000.0,1240000000.0,,-44000000.0,,,,,,,,,41000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
